geneSymbol,log2FC,p_value,FDR,type
BC055324,-0.3615142070921751,5.04463715381321e-05,0.005651016688888023,DN
Efemp1,0.8411722302687933,5.0499676337348904e-05,0.005651016688888023,UP
Prkce,0.14407464551707516,5.062998290893073e-05,0.005651016688888023,UP
Klrb1c,2.7740831254796854,5.101763619683953e-05,0.00567768282479813,UP
Mrpl49,-0.22270767327217378,5.153814790780759e-05,0.00570235994764299,DN
Epsti1,-0.20023614164808912,5.146592114981787e-05,0.00570235994764299,DN
Wdfy2,-0.44357066548855695,5.215910133151843e-05,0.0057378017752931455,DN
Susd3,0.7879730875228264,5.215649318049615e-05,0.0057378017752931455,UP
Il1rapl2,1.4345712192204245,5.2918009648680635e-05,0.005804558230774245,UP
Col4a2,-1.0352950315600262,5.3206287053865776e-05,0.0058194567032096405,DN
Tacstd2,0.6919508552808136,5.37211084610724e-05,0.005858977577645873,UP
Tmem47,1.9481786892685915,5.456662748653222e-05,0.005917378705727011,UP
