geneSymbol,log2FC,p_value,FDR,type,young_promoter_methylation,young_CpG_count,aged_promoter_methylation,aged_CpG_count,promoter_methylation_change,multiomics_pattern
HAG_034696,0.4832171219560255,3.1869975809505707e-06,0.0010662876433468,UP,0.94375,16.0,0.7,5,-0.24375000000000002,RNA_UP_METHYLATION_DOWN
Steap3,-0.8822755781256095,3.212382871866397e-06,0.0010662876433468,DN,0.9266923076923077,13.0,1.0,13,0.0733076923076923,RNA_DOWN_METHYLATION_UP
Fam63a,0.6169179267872531,3.3229753720806924e-06,0.0010934880681298,UP,0.06608620689655173,58.0,0.006166666666666667,54,-0.05991954022988506,RNA_UP_METHYLATION_DOWN
"Snrpn,Snurf",0.8998863498766005,3.3882904264594434e-06,0.0011054514714428,UP,0.8155,6.0,0.9166666666666666,6,0.10116666666666663,RNA_UP_METHYLATION_UP
Cxxc4,0.9208484893497804,3.4702772914103895e-06,0.0011131716367035,UP,0.10856756756756755,37.0,0.14584999999999998,40,0.03728243243243243,RNA_UP_METHYLATION_UP
B3gnt3,0.8922661218768018,3.4654254842448256e-06,0.0011131716367035,UP,0.4056,20.0,0.367515,20,-0.038085000000000035,RNA_UP_METHYLATION_DOWN
Npnt,0.7512961833458727,3.5079530692543606e-06,0.0011158798713298,UP,0.2853636363636364,33.0,0.39856521739130435,23,0.11320158102766797,RNA_UP_METHYLATION_UP
Parvb,-0.9485023476787422,3.582244663173104e-06,0.0011164036291243,DN,0.1388888888888889,18.0,0.08064516129032258,31,-0.05824372759856632,RNA_DOWN_METHYLATION_DOWN
C530028O21Rik,1.6006594340043316,3.5973395782850025e-06,0.0011164036291243,UP,0.6124411764705883,34.0,0.49555555555555547,45,-0.1168856209150328,RNA_UP_METHYLATION_DOWN
3632451O06Rik,1.0671650239367367,3.5650505077552215e-06,0.0011164036291243,UP,0.4659090909090909,22.0,0.5396666666666666,21,0.07375757575757574,RNA_UP_METHYLATION_UP
HNG_016032,1.8163533357250232,3.982077825314168e-06,0.0012258376995797,UP,0.8194444444444444,9.0,0.775,10,-0.0444444444444444,RNA_UP_METHYLATION_DOWN
